Timestamp,Actual_Irradiance,Forecast_Irradiance,CI_Lower,CI_Upper,Actual_Temperature,Forecast_Temperature
2020-03-22 00:00:00,0,0,0,119.74036650359,12.87,12.8000071544234
2020-03-22 01:00:00,0,0,0,137.693887734439,12.39,12.2273208301966
2020-03-22 02:00:00,0,0,0,143.152346227673,11.91,11.6703912773572
2020-03-22 03:00:00,0,0,0,145.003062276033,11.43,11.0974484777397
2020-03-22 04:00:00,0,0,0,145.691522747805,10.95,10.538845789758
2020-03-22 05:00:00,0,0,0,145.979396758949,10.48,9.96616057943588
2020-03-22 06:00:00,40.91,16.0571958998336,0,162.176254918361,10,9.40519363383885
2020-03-22 07:00:00,208.07,184.808032769971,38.6088141193264,331.007251420616,12.29,11.2070182895903
2020-03-22 08:00:00,411.48,418.667591298533,272.414229537914,564.920953059152,14.83,14.0477707866038
2020-03-22 09:00:00,617.15,618.63806913803,472.342849160277,764.933289115782,17.08,16.9133998232316
2020-03-22 10:00:00,796.82,756.221066016512,609.890147980496,902.551984052528,20,18.7573341527047
2020-03-22 11:00:00,827.89,721.477539856912,575.114144875822,867.840934838001,21.46,18.9432576621766
2020-03-22 12:00:00,424.77,730.686183981391,584.292042682672,877.08032528011,21.55,18.9275625272636
2020-03-22 13:00:00,558.08,451.944485179073,305.520543481884,598.368426876261,21.08,19.0492413896905
2020-03-22 14:00:00,327.25,401.49892557075,255.045706441471,547.952144700029,19.63,18.7880109542208
2020-03-22 15:00:00,291.41,169.132750918877,22.6505461320177,315.614955705736,19.21,18.7943118555474
2020-03-22 16:00:00,89.91,82.3321277559959,0,228.843153832173,17.33,16.6974607560719
2020-03-22 17:00:00,22.39,9.76570396716546,0,156.30545750315,16.63,15.3407048418693
2020-03-22 18:00:00,0,0,0,146.568426323233,16.23,15.0219125003569
2020-03-22 19:00:00,0,0,0,146.597066207037,15.83,14.4702893625935
2020-03-22 20:00:00,0,0,0,146.625685300413,15.43,13.9213523069117
2020-03-22 21:00:00,0,0,0,146.654290347159,15.03,13.3649949893767
2020-03-22 22:00:00,0,0,0,146.682885103413,14.64,12.8089259195648
2020-03-22 23:00:00,0,0,0,146.711471662192,14.24,12.2525207135766
